,buying,maint,doors,persons,lug_boot,safety,rating
0,low,med,3,4,small,high,good
0,vhigh,vhigh,2,2,small,low,good
0,med,med,5more,4,med,high,good
0,low,med,3,4,small,high,unacc
0,vhigh,vhigh,2,2,small,low,unacc
0,med,med,5more,4,med,high,unacc
0,low,med,3,4,small,high,vgood
0,vhigh,vhigh,2,2,small,low,vgood
0,med,med,5more,4,med,high,vgood
1,vhigh,med,4,more,big,high,acc
1,med,med,5more,more,med,high,acc
1,vhigh,med,4,more,big,high,vgood
1,med,med,5more,more,med,high,vgood
2,med,med,5more,more,med,med,acc
2,vhigh,vhigh,2,2,small,high,acc
2,med,med,4,more,med,high,acc
2,low,low,2,more,med,high,acc
2,med,med,5more,more,med,med,unacc
2,vhigh,vhigh,2,2,small,high,unacc
2,med,med,4,more,med,high,unacc
2,low,low,2,more,med,high,unacc
2,med,med,5more,more,med,med,vgood
2,vhigh,vhigh,2,2,small,high,vgood
2,med,med,4,more,med,high,vgood
2,low,low,2,more,med,high,vgood
2,med,med,5more,more,med,med,good
2,vhigh,vhigh,2,2,small,high,good
2,med,med,4,more,med,high,good
2,low,low,2,more,med,high,good
3,low,low,2,more,big,high,vgood
3,low,low,4,more,med,med,vgood
3,vhigh,vhigh,2,2,med,low,vgood
3,low,low,2,more,big,high,good
3,low,low,4,more,med,med,good
3,vhigh,vhigh,2,2,med,low,good
3,low,low,2,more,big,high,unacc
3,low,low,4,more,med,med,unacc
3,vhigh,vhigh,2,2,med,low,unacc
4,vhigh,vhigh,2,2,med,med,unacc
4,vhigh,low,5more,more,med,med,unacc
4,vhigh,vhigh,2,2,med,med,acc
4,vhigh,low,5more,more,med,med,acc
5,vhigh,vhigh,2,2,med,high,unacc
5,low,low,5more,more,big,high,unacc
5,med,low,4,4,med,med,unacc
5,high,med,4,more,small,high,unacc
5,vhigh,vhigh,2,2,med,high,vgood
5,low,low,5more,more,big,high,vgood
5,med,low,4,4,med,med,vgood
5,high,med,4,more,small,high,vgood
5,vhigh,vhigh,2,2,med,high,good
5,low,low,5more,more,big,high,good
5,med,low,4,4,med,med,good
5,high,med,4,more,small,high,good
5,vhigh,vhigh,2,2,med,high,acc
5,low,low,5more,more,big,high,acc
5,med,low,4,4,med,med,acc
5,high,med,4,more,small,high,acc
6,med,high,4,more,med,med,acc
6,low,low,3,4,big,high,acc
6,med,low,5more,more,small,high,acc
6,med,high,4,more,med,med,vgood
6,low,low,3,4,big,high,vgood
6,med,low,5more,more,small,high,vgood
6,med,high,4,more,med,med,good
6,low,low,3,4,big,high,good
6,med,low,5more,more,small,high,good
7,high,high,4,more,big,high,acc
7,low,med,2,4,med,high,acc
7,low,low,3,more,big,high,acc
7,vhigh,vhigh,2,2,big,med,acc
7,high,high,4,more,big,high,good
7,low,med,2,4,med,high,good
7,low,low,3,more,big,high,good
7,vhigh,vhigh,2,2,big,med,good
7,high,high,4,more,big,high,vgood
7,low,med,2,4,med,high,vgood
7,low,low,3,more,big,high,vgood
7,vhigh,vhigh,2,2,big,med,vgood
7,high,high,4,more,big,high,unacc
7,low,med,2,4,med,high,unacc
7,low,low,3,more,big,high,unacc
7,vhigh,vhigh,2,2,big,med,unacc
8,vhigh,vhigh,2,2,big,high,unacc
8,high,med,2,4,med,high,unacc
8,med,med,5more,more,big,high,unacc
8,vhigh,vhigh,2,2,big,high,acc
8,high,med,2,4,med,high,acc
8,med,med,5more,more,big,high,acc
8,vhigh,vhigh,2,2,big,high,vgood
8,high,med,2,4,med,high,vgood
8,med,med,5more,more,big,high,vgood
9,med,low,5more,more,big,med,good
9,high,med,4,more,med,high,good
9,low,low,4,4,big,high,good
9,med,low,5more,more,big,med,acc
9,high,med,4,more,med,high,acc
9,low,low,4,4,big,high,acc
9,med,low,5more,more,big,med,vgood
9,high,med,4,more,med,high,vgood
9,low,low,4,4,big,high,vgood
10,low,low,3,more,med,med,good
10,high,low,3,4,big,med,good
10,low,low,3,more,med,med,acc
10,high,low,3,4,big,med,acc
11,vhigh,low,4,more,med,med,acc
11,low,low,3,4,med,high,acc
11,vhigh,low,4,more,med,med,good
11,low,low,3,4,med,high,good
12,med,low,3,more,med,high,vgood
12,vhigh,vhigh,2,4,med,low,vgood
12,low,med,2,4,big,med,vgood
12,med,low,3,more,med,high,unacc
12,vhigh,vhigh,2,4,med,low,unacc
12,low,med,2,4,big,med,unacc
12,med,low,3,more,med,high,good
12,vhigh,vhigh,2,4,med,low,good
12,low,med,2,4,big,med,good
13,low,med,5more,more,big,high,vgood
13,vhigh,vhigh,2,4,med,med,vgood
13,med,med,4,4,small,med,vgood
13,low,med,4,more,small,high,vgood
13,low,med,5more,more,big,high,unacc
13,vhigh,vhigh,2,4,med,med,unacc
13,med,med,4,4,small,med,unacc
13,low,med,4,more,small,high,unacc
13,low,med,5more,more,big,high,acc
13,vhigh,vhigh,2,4,med,med,acc
13,med,med,4,4,small,med,acc
13,low,med,4,more,small,high,acc
13,low,med,5more,more,big,high,good
13,vhigh,vhigh,2,4,med,med,good
13,med,med,4,4,small,med,good
13,low,med,4,more,small,high,good
14,low,high,5more,more,big,med,acc
14,low,low,2,4,small,high,acc
14,low,high,5more,more,big,med,good
14,low,low,2,4,small,high,good
15,med,low,5more,more,med,high,vgood
15,low,high,4,more,small,high,vgood
15,med,low,5more,more,med,high,acc
15,low,high,4,more,small,high,acc
16,vhigh,vhigh,2,4,big,med,unacc
16,low,low,4,more,big,med,unacc
16,low,low,5more,more,big,high,unacc
16,vhigh,vhigh,2,4,big,med,good
16,low,low,4,more,big,med,good
16,low,low,5more,more,big,high,good
16,vhigh,vhigh,2,4,big,med,vgood
16,low,low,4,more,big,med,vgood
16,low,low,5more,more,big,high,vgood
17,low,low,4,4,med,high,vgood
17,med,high,4,4,small,high,vgood
17,low,low,4,4,med,high,acc
17,med,high,4,4,small,high,acc
18,low,med,2,4,small,med,acc
19,low,med,4,more,med,med,good
19,vhigh,vhigh,2,more,small,med,good
19,low,high,5more,more,med,high,good
19,high,med,4,4,med,med,good
19,low,med,4,more,med,med,unacc
19,vhigh,vhigh,2,more,small,med,unacc
19,low,high,5more,more,med,high,unacc
19,high,med,4,4,med,med,unacc
19,low,med,4,more,med,med,vgood
19,vhigh,vhigh,2,more,small,med,vgood
19,low,high,5more,more,med,high,vgood
19,high,med,4,4,med,med,vgood
19,low,med,4,more,med,med,acc
19,vhigh,vhigh,2,more,small,med,acc
19,low,high,5more,more,med,high,acc
19,high,med,4,4,med,med,acc
20,high,med,3,more,big,high,acc
20,vhigh,vhigh,2,more,small,high,acc
20,high,med,3,more,big,high,unacc
20,vhigh,vhigh,2,more,small,high,unacc
21,med,med,3,more,med,high,vgood
21,med,high,5more,4,big,high,vgood
21,low,low,4,more,big,med,vgood
