Entity,Year,Fruit,Veg,Fish,Milk,Egg,Meat_other,Mutton_Goat,Beef_Buffalo,Pigmeat,Poultry
Afghanistan,2010,25.37,34.4,0.07,59.37,0.83,0.42,5.54,4.7,0,2.34
Angola,2010,81.58,67.53,16.19,11.01,1.67,0.46,1.11,6.67,6.74,13.17
Argentina,2010,74.65,66.56,5.85,191.44,11.73,1.24,1.92,54.65,8.25,34.63
Australia,2010,100.03,97.84,26.67,236.65,6.3,2.15,10.08,37.25,22.34,40.13
Austria,2010,130.74,105.67,13.47,236.03,13.6,1.15,1.1,17.41,54.07,19.08
Bangladesh,2010,25.55,25.93,19.34,21.04,1.45,0.1,1.29,1.29,0,1.35
Barbados,2010,123.73,75.24,39.31,103.57,6.8,0,5.61,13.27,7.81,43.49
Brazil,2010,129.6,53.1,8.99,142.96,8.36,0.1,0.6,38.69,12.33,37.74
Cambodia,2010,27.34,33.44,36.08,2.6,1.4,0,0,5.06,7.8,1.98
Canada,2010,133.33,110.68,22.1,202.2,12.47,0.05,1.02,29.79,24.45,36.72
Caribbean,2010,140.38,65.7,9.4,64.29,5.64,2.3,0.91,7.48,11.46,24.63
Chad,2010,8.93,7.64,4.33,22.42,0.27,0.48,3.47,8.09,0.06,0.45
China,2010,77.76,327.31,32.32,30.95,18.25,1.14,2.93,4.9,35.89,12.83
Congo,2010,60.77,38.51,20.34,12.78,0.49,9.65,0.38,2.52,1.19,11.99
Costa Rica,2010,105.79,48.17,10.96,170.38,9.64,0,0.02,17.75,9.8,22.42
Cuba,2010,144.25,125.43,5.75,91.15,8.9,6.54,1.14,6.73,20.01,16.05
Egypt,2010,101.8,217.06,22.44,64.6,2.77,1.62,1.7,13.46,0.01,12.33
Fiji,2010,38.17,41.34,33.66,37.55,4.6,0.13,5.9,9.65,4.5,18.72
France,2010,112.97,103.05,34.78,237.32,13.41,3.7,3.33,25.92,34.47,23.05
Germany,2010,78.66,90,14.16,258.15,12.43,2.19,0.77,12.59,54.21,17.78
Greece,2010,123.73,219.84,18.82,294.11,8.99,2.78,13.04,20.28,29.29,14.92
Haiti,2010,68.43,19.26,3.87,17.54,0.52,0.96,0.64,4.62,4.05,5.97
Hungary,2010,65.51,70.5,5.24,162.25,13.97,1.15,0.11,5.31,40.48,23.69
Iceland,2010,123.86,68.45,90.48,248,7.51,10.26,18.02,11.49,19.46,22.94
India,2010,52.77,76.28,5.72,80.23,2.35,0.14,0.63,1.46,0.31,1.84
Indonesia,2010,57.18,39.79,27.22,12.9,4.68,0.01,0.48,2.43,2.89,6.51
Iran,2010,135.26,220.58,8.49,54.72,6.61,0.26,3.19,6.17,0,25.23
Israel,2010,120.48,163.01,21.86,183.41,9.68,0.01,1.84,26.56,2.52,66.65
Italy,2010,152.59,148.07,25.59,257.59,11.52,5.68,1.23,23.13,41.87,17.56
Jamaica,2010,112.05,75.03,24.22,91.44,1.38,0.02,1.68,4.23,3.67,59.24
Japan,2010,49.06,98.89,52.6,72.56,19.04,0.13,0.15,8.9,20.21,18.26
Kenya,2010,65.32,56.23,3.42,100.29,1.86,2.27,2.13,11.27,0.31,0.66
Malaysia,2010,46.37,65.94,60.55,35.07,14.6,0.01,0.85,5.61,8.82,38.54
Mexico,2010,97.45,56.21,12.13,106.68,17.34,0.71,0.96,16.3,14.42,28.97
Mongolia,2010,28.57,41.64,0.52,108.34,1.29,5.87,50.11,16.23,0.16,1.79
Morocco,2010,78.56,136.64,14.71,49.03,6.07,1.78,5.12,6.27,0.03,19.57
New Zealand,2010,109.03,123.4,25.93,110.98,9.95,2.11,20.69,19.73,21.8,31.99
Nigeria,2010,61.01,67.74,15.16,8.17,3.6,0.97,2.87,2.04,1.47,2.07
North Korea,2010,57.59,138.91,9.32,4.14,4.33,5.47,0.64,0.89,4.58,1.74
Norway,2010,127.38,71.83,54.11,261.49,10.98,1.35,5.32,18.67,23.54,17.13
Peru,2010,107.58,65.31,22.06,60.02,6.66,1.24,0.84,4.22,3.35,11.55
Philippines,2010,115.75,66.02,34.88,14.62,3.86,0.19,0.6,4.57,18.46,10.65
Poland,2010,52.43,113.57,10.52,190.59,11.12,0.17,0.04,2.76,50.23,21.52
Samoa,2010,195.04,18.5,46.71,34.02,5.32,0.02,8.19,10,20.18,51.33
Saudi Arabia,2010,80.71,94.87,11.34,79.82,4.83,1.65,5.72,6.3,0,45.46
Spain,2010,79.66,140.51,42.42,172.3,13.71,3.06,2.78,13.68,49.38,27.74
Sweden,2010,119.29,88.19,31.21,351.28,12.44,2.08,1.26,23.79,37.52,15.86
Thailand,2010,106.71,49.75,24.45,26.32,11.59,0,0.03,3.07,12.78,12.22
Turkey,2010,120.76,227.03,6.87,152.11,7.01,0.03,3.8,9.3,0,18.26
Uganda,2010,137.09,26.32,13.49,38.22,0.95,0.89,1.26,5.3,3.36,1.83
United Kingdom,2010,123.29,92.83,19.65,240.79,10.84,0.81,4.8,19.43,25.78,30.23
United States,2010,103.16,120.08,21.77,251.71,14.02,0.8,0.43,38.66,27.99,50.94
Vietnam,2010,68.05,87.54,33.9,14.26,3.34,0.3,0.19,5.38,33.99,11.66
Afghanistan,1995,29.15,27.31,0.09,70.85,0.68,0.73,7.6,7.39,0,0.71
Angola,1995,32.24,19.86,10.43,18.92,0.34,0.58,0.54,5.36,2.75,1.47
Argentina,1995,94.4,77.97,10.05,212.98,7.1,1.56,2.54,55.98,6.94,23.86
Australia,1995,84.68,85.94,18.83,239.47,6.21,4.19,18.24,40.85,19.33,26.16
Austria,1995,120.02,80.14,8.65,273.07,13.64,0.98,1.14,20.18,57.02,15.32
Bangladesh,1995,11.14,11.39,8.86,13.82,0.84,0.08,0.9,1.26,0,0.98
Barbados,1995,82.43,74.31,30.88,91.41,3.2,0.04,6.41,12.88,14.94,42.07
Brazil,1995,107.81,38.63,6.09,114.5,7.41,0.05,0.86,34.36,10.85,22.9
Cambodia,1995,24.07,37.6,9.01,5.01,1.14,0,0,4.7,7.57,1.84
Canada,1995,120.16,119.06,22.62,204.73,10.25,0.01,0.75,33.36,29.2,30.41
Caribbean,1995,100.37,36.4,10.4,72.56,3.5,0.76,0.62,7,7.04,11.51
Chad,1995,11.12,13.07,6.23,25.09,0.41,0.66,3.39,8.95,0.06,0.61
China,1995,31.57,148.43,20.73,7.45,12.31,0.63,1.4,2.29,24.1,7.05
Congo,1995,58.57,31.57,22.31,10.38,0.32,4.57,0.45,6.11,2.43,5.3
Costa Rica,1995,103.29,34.36,5.19,158.39,13.3,0,0,19.31,6.48,16.93
Cuba,1995,97.94,40.07,13.73,94.98,5.47,1.32,0.35,6.17,9.69,6.52
Egypt,1995,86.05,148.96,8.95,40.52,2.2,1.62,1.49,9.6,0.05,6.19
Fiji,1995,24.53,33.37,31.53,61.49,3.04,0,15.2,12.26,4.03,11.05
France,1995,94.07,106.79,30.87,272.26,15.84,6.04,4.32,27.91,35.83,23.76
Germany,1995,80.16,77.65,13.68,233.96,12.07,1.82,0.97,15.69,51.34,11.61
Greece,1995,143.7,274.35,22.21,256.95,9.77,1.45,13.97,20.24,27.61,16.76
Haiti,1995,77.18,25.07,2.61,15.84,0.49,0.88,0.49,3.21,3.07,1.62
Hungary,1995,53.81,98.5,3.1,154.9,16.71,0.99,0.18,11.1,48.94,23.59
Iceland,1995,82.14,43.84,91.05,256.65,7.3,10.39,28.28,11.47,12.49,7.37
India,1995,32.73,54.99,4.2,57.68,1.33,0.14,0.68,2.14,0.47,0.67
Indonesia,1995,42.93,43.17,17.82,7.54,3.05,0.01,0.49,1.9,2.95,4.52
Iran,1995,143.19,118.93,5.23,55.19,6.56,0.51,6.33,5.11,0,10.74
Israel,1995,127.87,251.45,24.29,219.79,13.27,0.01,1.45,17.26,1.91,46.21
Italy,1995,119.27,177.84,21.09,233.52,12.02,5.66,1.62,25.48,32.88,18.41
Jamaica,1995,133.19,85.68,21.12,108.73,2.28,0.05,1.59,9.13,3.33,25.07
Japan,1995,53.23,116.61,71.12,82.64,19.8,0.29,0.38,11.35,17.25,14.79
Kenya,1995,39.95,48.76,5.82,80.63,1.51,1.12,2.17,8.72,0.28,0.73
Malaysia,1995,54.36,33.01,55.81,59.8,12.46,0.01,0.55,4.76,14.01,32.56
Mexico,1995,99.35,41.28,9.67,90.99,11.19,1,0.87,15.3,10.24,15.85
Mongolia,1995,4.26,10.64,0.06,112.26,0.08,13.1,48.52,29.3,0.28,0.06
Morocco,1995,49.29,70.34,7.69,33.1,6.22,1.49,4.93,4.9,0.03,7.39
New Zealand,1995,115.89,200.33,26.84,154.22,9.67,2.16,34.83,45.66,15.88,23.96
Nigeria,1995,64.34,51.51,6.34,12.52,3.34,1.13,2.05,2.46,1.26,1.56
